Year,Almagre Mountain B index,Mesa Verde Douglas Fir index
1352,699.0,699.0
1353,854.0,1474.0
1354,759.0,1402.0
1355,802.0,1016.0
1356,842.0,1298.0
1357,810.0,1181.0
1358,825.0,1405.0
1359,853.0,1576.0
1360,614.0,941.0
1361,874.0,917.0
1362,1044.0,646.0
1363,1066.0,589.0
1364,957.0,405.0
1365,1043.0,803.0
1366,986.0,1123.0
1367,1064.0,767.0
1368,1058.0,963.0
1369,862.0,820.0
1370,915.0,1598.0
1371,951.0,977.0
1372,928.0,1087.0
1373,816.0,917.0
1374,836.0,1371.0
1375,810.0,451.0
1376,1018.0,604.0
1377,1187.0,686.0
1378,985.0,1074.0
1379,987.0,839.0
1380,1339.0,2033.0
1381,1353.0,1077.0
1382,1044.0,2084.0
1383,1106.0,2240.0
1384,997.0,1582.0
1385,1029.0,1203.0
1386,1086.0,1391.0
1387,835.0,1028.0
1388,919.0,1139.0
1389,1037.0,648.0
1390,967.0,177.0
1391,959.0,721.0
1392,1085.0,838.0
1393,887.0,804.0
1394,1058.0,957.0
1395,1136.0,906.0
1396,950.0,703.0
1397,1222.0,758.0
1398,915.0,390.0
1399,453.0,505.0
1400,866.0,377.0
1401,972.0,423.0
1402,1131.0,350.0
1403,1163.0,316.0
1404,1089.0,731.0
1405,1064.0,601.0
1406,968.0,1028.0
1407,810.0,805.0
1408,666.0,944.0
1409,1055.0,1512.0
1410,856.0,1301.0
1411,706.0,415.0
1412,831.0,1250.0
1413,639.0,98.0
1414,733.0,1353.0
1415,656.0,509.0
1416,935.0,777.0
1417,847.0,1109.0
1418,797.0,716.0
1419,1140.0,768.0
1420,909.0,767.0
1421,872.0,476.0
1422,874.0,794.0
1423,918.0,581.0
1424,1230.0,896.0
1425,1137.0,703.0
1426,1130.0,1177.0
1427,1053.0,1058.0
1428,1218.0,1147.0
1429,1217.0,1087.0
1430,1051.0,1066.0
1431,1062.0,1078.0
1432,1087.0,1353.0
1433,1076.0,1377.0
1434,1033.0,859.0
1435,1014.0,953.0
1436,920.0,1189.0
1437,871.0,1069.0
1438,835.0,423.0
1439,751.0,915.0
1440,957.0,912.0
1441,956.0,1316.0
1442,851.0,515.0
1443,1126.0,916.0
1444,831.0,895.0
1445,833.0,673.0
1446,882.0,566.0
1447,989.0,764.0
1448,810.0,813.0
1449,825.0,504.0
1450,687.0,338.0
1451,1092.0,1319.0
1452,944.0,852.0
1453,972.0,1046.0
1454,1027.0,1118.0
1455,887.0,79.0
1456,932.0,944.0
1457,856.0,214.0
1458,794.0,1602.0
1459,830.0,812.0
1460,912.0,954.0
1461,794.0,548.0
1462,785.0,1529.0
1463,835.0,824.0
1464,812.0,164.0
1465,823.0,484.0
1466,744.0,1108.0
1467,966.0,1474.0
1468,916.0,936.0
1469,801.0,1264.0
1470,877.0,976.0
1471,789.0,360.0
1472,787.0,747.0
1473,785.0,349.0
1474,899.0,915.0
1475,859.0,482.0
1476,756.0,1047.0
1477,926.0,1238.0
1478,968.0,1044.0
1479,856.0,545.0
1480,743.0,272.0
1481,1012.0,731.0
1482,828.0,861.0
1483,875.0,889.0
1484,918.0,1410.0
1485,955.0,1005.0
1486,976.0,1167.0
1487,964.0,736.0
1488,917.0,1219.0
1489,893.0,1184.0
1490,1060.0,1045.0
1491,1132.0,1898.0
1492,928.0,1193.0
1493,854.0,1269.0
1494,828.0,1184.0
1495,560.0,12.0
1496,384.0,814.0
1497,715.0,788.0
1498,653.0,1241.0
1499,748.0,663.0
1500,725.0,88.0
1501,878.0,597.0
1502,1070.0,1090.0
1503,907.0,961.0
1504,970.0,980.0
1505,981.0,239.0
1506,980.0,45.0
1507,1168.0,699.0
1508,983.0,674.0
1509,1040.0,1110.0
1510,1076.0,246.0
1511,1328.0,1155.0
1512,1259.0,1068.0
1513,1190.0,1158.0
1514,1169.0,1312.0
1515,1063.0,788.0
1516,995.0,201.0
1517,986.0,650.0
1518,915.0,260.0
1519,1035.0,1091.0
1520,1092.0,1089.0
1521,1099.0,548.0
1522,796.0,109.0
1523,1029.0,598.0
1524,823.0,548.0
